185.0#4.52#1442851783.03#18:09, 21. Sep 2015
183.6#4.54#1442858974.94#20:09, 21. Sep 2015
187.7#4.52#1442866165.96#22:09, 21. Sep 2015
187.7#4.48#1442873354.42#00:09, 22. Sep 2015
187.7#4.55#1442880539.88#02:08, 22. Sep 2015
187.6#4.51#1442887722.89#04:08, 22. Sep 2015
186.5#4.5#1442894903.76#06:08, 22. Sep 2015
185.9#4.53#1442902082.62#08:08, 22. Sep 2015
185.4#4.47#1442909260.37#10:07, 22. Sep 2015
185.2#4.53#1442916437.78#12:07, 22. Sep 2015
189.3#4.51#1442923617.24#14:06, 22. Sep 2015
189.3#4.52#1442930800.62#16:06, 22. Sep 2015
187.3#4.5#1442937987.46#18:06, 22. Sep 2015
186.2#4.53#1442945175.74#20:06, 22. Sep 2015
190.0#4.52#1442952362.92#22:06, 22. Sep 2015
190.0#4.54#1442959548.45#00:05, 23. Sep 2015
190.0#4.51#1442966732.0#02:05, 23. Sep 2015
190.0#4.51#1442973913.76#04:05, 23. Sep 2015
189.5#4.51#1442981094.04#06:04, 23. Sep 2015
188.9#4.52#1442988273.44#08:04, 23. Sep 2015
186.9#4.48#1442995451.98#10:04, 23. Sep 2015
186.2#4.53#1443002630.84#12:03, 23. Sep 2015
190.0#4.52#1443009810.58#14:03, 23. Sep 2015
190.0#4.5#1443016991.49#16:03, 23. Sep 2015
189.6#4.51#1443024173.04#18:02, 23. Sep 2015
187.1#4.51#1443031354.46#20:02, 23. Sep 2015
190.0#4.51#1443038535.14#22:02, 23. Sep 2015
190.0#4.52#1443045714.31#00:01, 24. Sep 2015
190.0#4.52#1443052891.87#02:01, 24. Sep 2015
190.0#4.55#1443060067.6#04:01, 24. Sep 2015
189.2#4.55#1443067242.61#06:00, 24. Sep 2015
188.3#4.5#1443074416.72#08:00, 24. Sep 2015
186.9#4.51#1443081590.22#09:59, 24. Sep 2015
186.4#4.5#1443088763.21#11:59, 24. Sep 2015
190.0#4.45#1443095936.51#13:58, 24. Sep 2015
190.0#4.48#1443103109.88#15:58, 24. Sep 2015
188.0#4.51#1443110283.42#17:58, 24. Sep 2015
187.3#4.48#1443117456.88#19:57, 24. Sep 2015
190.0#4.52#1443124630.27#21:57, 24. Sep 2015
190.0#4.52#1443131803.55#23:56, 24. Sep 2015
190.0#4.51#1443138976.65#01:56, 25. Sep 2015
190.0#4.5#1443146149.57#03:55, 25. Sep 2015
189.7#4.51#1443153322.52#05:55, 25. Sep 2015
187.8#4.54#1443160495.48#07:54, 25. Sep 2015
186.5#4.48#1443167668.07#09:54, 25. Sep 2015
185.4#4.49#1443174840.73#11:54, 25. Sep 2015
188.4#4.55#1443182013.44#13:53, 25. Sep 2015
187.9#4.49#1443189186.3#15:53, 25. Sep 2015
187.9#4.48#1443196359.51#17:52, 25. Sep 2015
186.8#4.49#1443203533.04#19:52, 25. Sep 2015
190.0#4.5#1443210706.54#21:51, 25. Sep 2015
190.0#4.43#1443217879.77#23:51, 25. Sep 2015
190.0#4.49#1443225052.95#01:50, 26. Sep 2015
190.0#4.45#1443232225.86#03:50, 26. Sep 2015
189.7#4.53#1443239398.61#05:49, 26. Sep 2015
190.0#4.51#1443246571.2#07:49, 26. Sep 2015
